Bandit,Reward,Algorithm
3,3.78261306504896,Epsilon-Greedy
3,1.8102910454288232,Epsilon-Greedy
0,2.286523716930312,Epsilon-Greedy
3,4.370865254688875,Epsilon-Greedy
3,3.9430926497711853,Epsilon-Greedy
3,3.216366862223878,Epsilon-Greedy
3,4.600406432468085,Epsilon-Greedy
3,2.7304987689630136,Epsilon-Greedy
3,3.0388862154479828,Epsilon-Greedy
3,5.327401806599401,Epsilon-Greedy
3,3.8699282422228958,Epsilon-Greedy
3,4.697912854833861,Epsilon-Greedy
3,3.834497821696492,Epsilon-Greedy
3,5.32773875538424,Epsilon-Greedy
0,0.587520114835163,Epsilon-Greedy
3,2.847566158854487,Epsilon-Greedy
3,3.5379075184241735,Epsilon-Greedy
3,2.140603997820489,Epsilon-Greedy
3,3.7965496581847487,Epsilon-Greedy
3,2.741731817445552,Epsilon-Greedy
3,5.959064566784028,Epsilon-Greedy
3,3.3700404213681123,Epsilon-Greedy
3,4.911534090585191,Epsilon-Greedy
3,5.769199732599673,Epsilon-Greedy
2,4.449737688530397,Epsilon-Greedy
2,2.852354763523606,Epsilon-Greedy
3,2.8992295731041207,Epsilon-Greedy
3,2.2747378630752912,Epsilon-Greedy
3,4.43373514025414,Epsilon-Greedy
1,0.8951909516167555,Epsilon-Greedy
3,3.462790017329323,Epsilon-Greedy
3,3.668847185267336,Epsilon-Greedy
3,4.4193842527767915,Epsilon-Greedy
3,5.9206796353898685,Epsilon-Greedy
3,3.8669473593786985,Epsilon-Greedy
3,3.2709392370025574,Epsilon-Greedy
3,5.507613483742784,Epsilon-Greedy
3,4.466871274336257,Epsilon-Greedy
3,3.254179342793955,Epsilon-Greedy
3,4.170347982355941,Epsilon-Greedy
3,3.7573300549157143,Epsilon-Greedy
3,3.1462951978706983,Epsilon-Greedy
3,4.736732346825331,Epsilon-Greedy
3,4.322145264630304,Epsilon-Greedy
3,5.732002829410127,Epsilon-Greedy
3,5.134549589797793,Epsilon-Greedy
3,3.0321793353592215,Epsilon-Greedy
3,2.593861147588685,Epsilon-Greedy
3,4.221418769554173,Epsilon-Greedy
3,5.580668191542805,Epsilon-Greedy
3,5.324737151339297,Epsilon-Greedy
3,3.9904521426977655,Epsilon-Greedy
3,2.771139078863024,Epsilon-Greedy
3,3.702492895758603,Epsilon-Greedy
3,4.143371952501537,Epsilon-Greedy
3,4.386063761919745,Epsilon-Greedy
3,4.637353292361954,Epsilon-Greedy
3,2.5868975260616427,Epsilon-Greedy
3,3.9105267160983805,Epsilon-Greedy
3,6.889129113715913,Epsilon-Greedy
3,5.729425003107346,Epsilon-Greedy
3,3.858581837628814,Epsilon-Greedy
3,4.304098150328249,Epsilon-Greedy
3,2.2070203691627333,Epsilon-Greedy
3,4.33046483729155,Epsilon-Greedy
3,4.4443618524635475,Epsilon-Greedy
3,5.55452748666777,Epsilon-Greedy
3,1.6065122660110926,Epsilon-Greedy
3,3.399517745435505,Epsilon-Greedy
3,3.8263555225367583,Epsilon-Greedy
3,4.3523824915110145,Epsilon-Greedy
3,4.3561301593331745,Epsilon-Greedy
3,5.260421567201005,Epsilon-Greedy
3,3.323018805469598,Epsilon-Greedy
3,5.458214479690897,Epsilon-Greedy
3,3.8414497828254093,Epsilon-Greedy
3,3.7613694114179443,Epsilon-Greedy
3,3.7565078585101084,Epsilon-Greedy
3,3.7866124289975116,Epsilon-Greedy
3,4.059384604189171,Epsilon-Greedy
3,5.371475120687432,Epsilon-Greedy
3,3.6119338136070653,Epsilon-Greedy
3,4.126783129773811,Epsilon-Greedy
3,4.3640362348960045,Epsilon-Greedy
3,5.355565668699102,Epsilon-Greedy
3,4.096568158900635,Epsilon-Greedy
3,3.1743152590420354,Epsilon-Greedy
3,4.180878047780338,Epsilon-Greedy
3,3.811119245159711,Epsilon-Greedy
3,4.639714779999348,Epsilon-Greedy
3,3.3812512118399787,Epsilon-Greedy
3,3.8657171219539577,Epsilon-Greedy
3,2.7200501893301317,Epsilon-Greedy
3,4.441016263463663,Epsilon-Greedy
3,2.5113882276854826,Epsilon-Greedy
3,3.342794251825409,Epsilon-Greedy
3,3.093319670089003,Epsilon-Greedy
3,3.1504121989551916,Epsilon-Greedy
3,5.611627706082048,Epsilon-Greedy
3,2.668513808290034,Epsilon-Greedy
3,2.66275797809925,Epsilon-Greedy
3,3.772245168549631,Epsilon-Greedy
3,3.5166260152703366,Epsilon-Greedy
3,4.020044750896358,Epsilon-Greedy
3,3.6754681859921985,Epsilon-Greedy
3,4.2719494400235325,Epsilon-Greedy
3,4.09614235410803,Epsilon-Greedy
3,1.9840407644702567,Epsilon-Greedy
3,3.7093853428083694,Epsilon-Greedy
3,3.5362579185940275,Epsilon-Greedy
3,3.212406014573621,Epsilon-Greedy
3,3.147285077610542,Epsilon-Greedy
3,4.182772860804911,Epsilon-Greedy
3,4.844515513143147,Epsilon-Greedy
3,1.6460579595153368,Epsilon-Greedy
